instrumentId,exchange,marketType,effectiveBacktestStart,commonCutoff,historyMonths,coveragePct,missingRatePct,liquidityScore,included,reasonZh
BTC-USDT-SWAP,okx,swap,2020-01-01T00:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",78.4011,99.987779,0.012221,29.89509604,True,满足固定核心池的来源、历史、完整度和活跃度门槛
ETH-USDT-SWAP,okx,swap,2020-01-01T00:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",78.4011,99.987779,0.012221,27.15753751,True,满足固定核心池的来源、历史、完整度和活跃度门槛
BCH-USDT-SWAP,unverified_local_exchange,swap,2020-01-01T00:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",76.4244,99.986568,0.013432,20.85742978,True,满足固定核心池的来源、历史、完整度和活跃度门槛
LTC-USDT-SWAP,unverified_local_exchange,swap,2020-01-01T00:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",76.5886,99.986596,0.013404,20.15385825,True,满足固定核心池的来源、历史、完整度和活跃度门槛
ETC-USDT-SWAP,unverified_local_exchange,swap,2020-01-01T00:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",76.4956,99.98658,0.01342,17.6580211,True,满足固定核心池的来源、历史、完整度和活跃度门槛
XRP-USDT-SWAP,unverified_local_exchange,swap,2020-01-01T00:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",76.6543,99.986608,0.013392,15.27097511,True,满足固定核心池的来源、历史、完整度和活跃度门槛
LINK-USDT-SWAP,unverified_local_exchange,swap,2020-03-09T07:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",74.3217,99.986187,0.013813,17.76519827,True,满足固定核心池的来源、历史、完整度和活跃度门槛
YFI-USDT-SWAP,unverified_local_exchange,swap,2020-09-02T08:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",68.6037,99.986032,0.013968,21.98430956,True,满足固定核心池的来源、历史、完整度和活跃度门槛
NEO-USDT-SWAP,unverified_local_exchange,swap,2020-03-04T13:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",74.5079,99.93478,0.06522,15.12522855,True,满足固定核心池的来源、历史、完整度和活跃度门槛
ATOM-USDT-SWAP,okx,swap,2020-05-06T07:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",74.2505,98.803554,1.196446,15.97954231,True,满足固定核心池的来源、历史、完整度和活跃度门槛
ADA-USDT-SWAP,okx,swap,2020-04-29T06:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",74.4805,99.749141,0.250859,14.48142971,True,满足固定核心池的来源、历史、完整度和活跃度门槛
TRX-USDT-SWAP,unverified_local_exchange,swap,2020-01-01T00:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",76.6543,99.957144,0.042856,11.68575605,True,满足固定核心池的来源、历史、完整度和活跃度门槛
COMP-USDT-SWAP,unverified_local_exchange,swap,2020-07-01T09:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",70.4887,99.975727,0.024273,17.32343184,True,满足固定核心池的来源、历史、完整度和活跃度门槛
DOGE-USDT-SWAP,okx,swap,2020-07-10T03:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",72.1259,99.985767,0.014233,14.57596486,True,满足固定核心池的来源、历史、完整度和活跃度门槛
SOL-USDT-SWAP,okx,swap,2021-01-22T07:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",65.681,99.985412,0.014588,21.8974752,True,满足固定核心池的来源、历史、完整度和活跃度门槛
AAVE-USDT-SWAP,okx,swap,2020-12-10T06:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",67.0883,99.983678,0.016322,19.71000327,True,满足固定核心池的来源、历史、完整度和活跃度门槛
FIL-USDT-SWAP,unverified_local_exchange,swap,2020-07-22T07:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",69.8207,99.67456,0.32544,16.85354013,True,满足固定核心池的来源、历史、完整度和活跃度门槛
