strategyId,strategyName,strategyFamily,timeframe,status,primaryFailureType,primaryFailureLabelZh,severity,confidence,confidenceScore,causalityProven
freqtrade::AlphaPilotBatchA_EMATrendLong4H,AlphaPilotBatchA_EMATrendLong4H,AlphaPilotBatchA_EMATrendLong4H,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotBatchB_EMATrendShort4H,AlphaPilotBatchB_EMATrendShort4H,AlphaPilotBatchB_EMATrendShort4H,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotBatchC_BreakoutRetestLong4H,AlphaPilotBatchC_BreakoutRetestLong4H,AlphaPilotBatchC_BreakoutRetestLong4H,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotBatchD_BreakdownRetestShort4H,AlphaPilotBatchD_BreakdownRetestShort4H,AlphaPilotBatchD_BreakdownRetestShort4H,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotBatchE_BollingerReversionLong4H,AlphaPilotBatchE_BollingerReversionLong4H,AlphaPilotBatchE_BollingerReversionLong4H,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotBatchF_BollingerReversionShort4H,AlphaPilotBatchF_BollingerReversionShort4H,AlphaPilotBatchF_BollingerReversionShort4H,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotBatchG_RelativeStrengthLong4H,AlphaPilotBatchG_RelativeStrengthLong4H,AlphaPilotBatchG_RelativeStrengthLong4H,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotBatchH_VolatilityCompressionBreakout4H,AlphaPilotBatchH_VolatilityCompressionBreakout4H,AlphaPilotBatchH_VolatilityCompressionBreakout4H,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotDynamicRegimeV01,AlphaPilotDynamicRegimeV01,AlphaPilotDynamicRegimeV01,,archived_legacy_evidence,zero_trade_or_blocked,零交易或流程阻塞,high,high,0.98,False
freqtrade::AlphaPilotLowFrequencyDirectional4HV01,AlphaPilotLowFrequencyDirectional4HV01,AlphaPilotLowFrequencyDirectional4HV01,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotShortRejection1HV01,AlphaPilotShortRejection1HV01,AlphaPilotShortRejection1HV01,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotTrendPullback1HV01,AlphaPilotTrendPullback1HV01,AlphaPilotTrendPullback1HV01,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotVolumeReboundV01,AlphaPilotVolumeReboundV01,AlphaPilotVolumeReboundV01,15m,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotVolumeReboundV02ATrendStrict,AlphaPilotVolumeReboundV02ATrendStrict,AlphaPilotVolumeReboundV02ATrendStrict,15m,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotVolumeReboundV02BVolumeQuality,AlphaPilotVolumeReboundV02BVolumeQuality,AlphaPilotVolumeReboundV02BVolumeQuality,15m,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotVolumeReboundV02CExitCleanup,AlphaPilotVolumeReboundV02CExitCleanup,AlphaPilotVolumeReboundV02CExitCleanup,15m,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotVolumeReboundV02DEarlyFailureExit,AlphaPilotVolumeReboundV02DEarlyFailureExit,AlphaPilotVolumeReboundV02DEarlyFailureExit,15m,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::AlphaPilotVolumeReboundV02EPairRiskWatchlist,AlphaPilotVolumeReboundV02EPairRiskWatchlist,AlphaPilotVolumeReboundV02EPairRiskWatchlist,15m,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::BenchmarkBollingerRebound,BenchmarkBollingerRebound,BenchmarkBollingerRebound,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::BenchmarkEMATrend,BenchmarkEMATrend,BenchmarkEMATrend,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::BenchmarkMACDVolume,BenchmarkMACDVolume,BenchmarkMACDVolume,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::BenchmarkRSIMeanReversion,BenchmarkRSIMeanReversion,BenchmarkRSIMeanReversion,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
freqtrade::BenchmarkTD9Exhaustion,BenchmarkTD9Exhaustion,BenchmarkTD9Exhaustion,,archived_legacy_evidence,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_088bf157d71a8d1dd0112e7ad49342f5bca594e8c49755f08b8d692b08941e1e,Alpha191 加密因子观察策略,alpha191_crypto_observer,4h,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
legacy::rejected_benchmark_martingale,Rejected Benchmark Martingale,benchmark_suite,1h,rejected,rejected_risk_design,风险设计被禁止,medium,medium,0.666,False
strategy_version_2c62fea97eaaab20178814e83921e7bad9c869ba35b6a494548fc89be3a4d406,1D 趋势突破回踩 ATR2.0 · 自动优化 1/3,event_1d_breakout_retest_atr20_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_b854fd47e5a99350c6df96956a21f2030bb2250f8d8e7f10afb6306e6c6d0245,1D 趋势突破回踩 ATR2.0 · 自动优化 1/3 · 自动优化 2/3,event_1d_breakout_retest_atr20_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_c0afa97d531616a24d020e2aad5acd5df1168b41e7acbccab330549821aaa7d8,1D 趋势突破回踩 ATR2.0,event_1d_breakout_retest_atr20_v1,1d,archived,risk_model_failure,账户风险路径不合格,high,high,0.98,False
strategy_version_ff1f066c0bc682663457e4e8ef7cc1d6e46331c29c00ffe56323177984dceb60,1D 趋势突破回踩 ATR2.0 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_1d_breakout_retest_atr20_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_0dc7701b4b48a6d2d3eaf727bfec274b5ca93016a5ea9aa862ffcc7f3ebe9b1b,1D 广谱压缩释放 ATR2.0,event_1d_broad_squeeze_breakout_atr20_v1,1d,archived,risk_model_failure,账户风险路径不合格,high,high,0.98,False
strategy_version_aff7a9c0495d809daa6c0df66c7432e2a79bc6e9bfee1cf592b086c7d7e421c5,1D 广谱压缩释放 ATR2.0 · 自动优化 1/3 · 自动优化 2/3,event_1d_broad_squeeze_breakout_atr20_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_f5f3ea08e1e34ad1297339ae7f219a26ec6e39566258d9e40df48a00a123401b,1D 广谱压缩释放 ATR2.0 · 自动优化 1/3,event_1d_broad_squeeze_breakout_atr20_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_ff49c87e1ec6c73b2560d6ca04dde48b5ebed7ed2c5feefc4cc8a99dd020d362,1D 广谱压缩释放 ATR2.0 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_1d_broad_squeeze_breakout_atr20_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_0dab3d1e18d9ca2b7e134d10b5da056adb0955d1ac6dfb018c287f926dbb9ce2,1D 超卖扫低收回 ATR1.0 影子 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_1d_oversold_sweep_reclaim_atr10_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_1373c55a0b9b420840b6d01374e174c021527f190c8a5b2ce53888996b3dd8bc,1D 超卖扫低收回 ATR1.0 影子 · 自动优化 1/3 · 自动优化 2/3,event_1d_oversold_sweep_reclaim_atr10_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_3b81321505e0f36008a1b3930cb7f73131dbea7bcc010bec1a9dcd0e08868343,1D 超卖扫低收回 ATR1.0 影子 · 自动优化 1/3,event_1d_oversold_sweep_reclaim_atr10_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_9177137252db0033a4ce8d84195f3eefa0eca2762d49257fed2cd35a6fad647d,1D 超卖扫低收回 ATR1.0 影子,event_1d_oversold_sweep_reclaim_atr10_v1,1d,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_161c4b3d866ad1cc7d500791a4d7d188f4a2371463ac05fcdad5ffd46c64cee6,1D 超卖扫低收回 ATR1.2 影子 · 自动优化 1/3 · 自动优化 2/3,event_1d_oversold_sweep_reclaim_atr12_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
