strategyId,strategyName,strategyFamily,timeframe,direction,primaryFailureType,secondaryFailureTypes,severity,signalLayerAssessment,accountRiskLayerAssessment,evidenceLevel,missingEvidenceFields,causalityProven
alpha_short_rejection_1h_v01,AlphaPilot Short Rejection 1H V0.1,short_rejection,1h,short,signal_edge_failure,cost_amplification;risk_model_failure;overtrading;direction_regime_mismatch;data_evidence_gap,critical,failed,failed,2,averageHoldingMinutes;feesPaid;slippageCost;averageNetR;grossRewardRiskR;perTradeRegimeAttribution,False
alpha_volume_rebound_v01,AlphaPilotVolumeReboundV01,volume_rebound,15m,long,signal_edge_failure,cost_amplification;risk_model_failure;overtrading;data_evidence_gap,critical,failed,failed,1,averageNetR;grossRewardRiskR,False
alpha_volume_rebound_v02_a_trend_strict,AlphaPilotVolumeReboundV02A,volume_rebound,15m,long,signal_edge_failure,data_evidence_gap,high,failed,not_failed_on_available_metrics,1,slippageAdjustedTotalReturnPct;slippageAdjustedProfitFactor;slippageCost;averageNetR;grossRewardRiskR,False
alpha_volume_rebound_v02_b_volume_quality,AlphaPilotVolumeReboundV02B,volume_rebound,15m,long,signal_edge_failure,cost_amplification;risk_model_failure;overtrading;data_evidence_gap,critical,failed,failed,1,averageNetR;grossRewardRiskR,False
alpha_volume_rebound_v02_c_exit_cleanup,AlphaPilotVolumeReboundV02C,volume_rebound,15m,long,signal_edge_failure,cost_amplification;risk_model_failure;overtrading;data_evidence_gap,critical,failed,failed,1,averageNetR;grossRewardRiskR,False
alpha_volume_rebound_v02_d_early_failure_exit,AlphaPilotVolumeReboundV02D,volume_rebound,15m,long,signal_edge_failure,data_evidence_gap,high,failed,not_failed_on_available_metrics,1,slippageAdjustedTotalReturnPct;slippageAdjustedProfitFactor;slippageCost;averageNetR;grossRewardRiskR,False
alpha_volume_rebound_v02_e_pair_risk_watchlist,AlphaPilotVolumeReboundV02E,volume_rebound,15m,long,signal_edge_failure,cost_amplification;risk_model_failure;overtrading;pair_concentration;data_evidence_gap,critical,failed,failed,1,averageNetR;grossRewardRiskR,False
benchmark_bollinger_rebound,Benchmark Bollinger Rebound,benchmark_suite,1h,long_only,signal_edge_failure,cost_amplification;risk_model_failure;data_evidence_gap,critical,failed,failed,1,averageNetR;grossRewardRiskR;pairCount;monthCount,False
benchmark_ema_trend,Benchmark EMA Trend,benchmark_suite,1h,long_only,signal_edge_failure,cost_amplification;risk_model_failure;overtrading;data_evidence_gap,critical,failed,failed,1,averageNetR;grossRewardRiskR;pairCount;monthCount,False
benchmark_macd_volume,Benchmark MACD Volume,benchmark_suite,1h,long_only,signal_edge_failure,cost_amplification;risk_model_failure;overtrading;data_evidence_gap,critical,failed,failed,1,averageNetR;grossRewardRiskR;pairCount;monthCount,False
benchmark_rsi_mean_reversion,Benchmark RSI Mean Reversion,benchmark_suite,1h,long_only,signal_edge_failure,cost_amplification;risk_model_failure;overtrading;data_evidence_gap,critical,failed,failed,1,averageNetR;grossRewardRiskR;pairCount;monthCount,False
benchmark_td9_exhaustion,Benchmark TD9 Exhaustion,benchmark_suite,1h,long_only,signal_edge_failure,cost_amplification;risk_model_failure;overtrading;data_evidence_gap,critical,failed,failed,1,averageNetR;grossRewardRiskR;pairCount;monthCount,False
rejected_benchmark_martingale,Rejected Benchmark Martingale,benchmark_suite,1h,,rejected_risk_design,data_evidence_gap,critical,inconclusive_missing_evidence,inconclusive_missing_evidence,2,tradeCount;totalReturnPct;slippageAdjustedTotalReturnPct;winRatePct;profitFactor;slippageAdjustedProfitFactor;maxDrawdownPct;maxConsecutiveLosses;averageHoldingMinutes;feesPaid;slippageCost;averageNetR;grossRewardRiskR;pairCount;monthCount;strategyFile,False
