candidateId,familyId,timeframe,disposition,overlapWith,semanticFingerprint,reason
ref_turtle_donchian_20_10_4h_v1,canonical_turtle_trend_following,4h,duplicate_existing,crypto_tsmom_turtle_v1,reference_semantic_6b180e6ca4b5d0e02b81a681e49937dc36017acb25737ae4ae46e14843e75984,semantic family already registered
ref_turtle_donchian_55_20_1d_v1,canonical_turtle_trend_following,1d,insufficient_evidence,,reference_semantic_b265b07b3c206f2ee386b736b215490badd34a454266ecfd5161a8aff9f152d5,package metadata is not formal AlphaPilot evidence
ref_utc_session_range_breakout_1h_v1,utc_session_range_breakout,1h,selected_bounded_research,,reference_semantic_6c54171fd682b79db16d929c99548bf8649dd198fa8ad81976ef26f081ef3ede,incremental causal hypothesis
ref_pa_breakout_failure_second_entry_4h_v1,price_action_breakout_failure_second_entry,4h,selected_bounded_research,,reference_semantic_0bbaffb37c888dc32817c70df5ef575f0c9f8c319676f5488047d69fae98d162,incremental causal hypothesis
ref_pa_wedge_pullback_continuation_4h_v1,price_action_wedge_pullback_continuation,4h,research_later,,reference_semantic_18fc1748c809a9e1cc00aab8a6e571b67b23d011d17d6f9cc82e41730bf99185,requires a separate bounded hypothesis campaign
ref_pa_spike_pullback_continuation_1h_v1,price_action_spike_pullback_continuation,1h,research_later,,reference_semantic_500c93d2f08df994ea3a7931250a4c3c1029564af68c10e98cfb1a8854995d3e,requires a separate bounded hypothesis campaign
ref_pa_channel_h2_l2_pullback_4h_v1,price_action_second_pullback_channel,4h,forward_data_required,,reference_semantic_62261da04d514587d0907c8518a107124a97a85f06e647efbc483b0fa0f02700,requires unavailable point-in-time forward evidence
ref_pa_flag_breakout_retest_4h_v1,price_action_flag_breakout_retest,4h,insufficient_evidence,,reference_semantic_48d4a904ed4cb895756eaa0fca2cc3fb28c1db78b3bdc33caebb090972ef6dc2,package metadata is not formal AlphaPilot evidence
ref_bollinger_band_expansion_4h_v1,bollinger_curvature_expansion,4h,insufficient_evidence,,reference_semantic_db637eb9b0e1e91553157750b3fae1b6e2995d74d136f03a2bc0c3bbeb2a77ff,package metadata is not formal AlphaPilot evidence
ref_pa_range_boundary_second_entry_1h_v1,price_action_range_boundary_second_entry,1h,insufficient_evidence,,reference_semantic_bfda1d24268f5b183f1b347d806efa4b2e39bdb0cc6b1aed5b063d1f3bd1a550,package metadata is not formal AlphaPilot evidence
ref_pair_residual_mean_reversion_4h_v1,clean_pair_relative_value,4h,insufficient_evidence,,reference_semantic_473a8c3e15375f4cccab51766f3abc79ef498bfd49336aab9190bb3bf3eb7a21,package metadata is not formal AlphaPilot evidence
ref_ma_stack_session_trend_4h_v1,ma_stack_session_trend,4h,insufficient_evidence,,reference_semantic_7c4d9cdf43dbde3cc219031273146e90a449c4e3f0c31c6526ca291ba886217d,package metadata is not formal AlphaPilot evidence
ref_fractal_multitimeframe_session_breakout_15m_v1,fractal_multitimeframe_session_breakout,15m,research_later,,reference_semantic_5e61eb08745af37a6aa5c4e1423186e42dfc5af8c76452b88dcea246dea36570,requires a separate bounded hypothesis campaign
ref_box_breakout_no_grid_1h_v1,single_box_breakout,1h,insufficient_evidence,,reference_semantic_471e4b6816896b527d6ce45929900ba937eb04411744c8428f3a64f4a8cdb3bd,package metadata is not formal AlphaPilot evidence
ref_trend_filtered_boll_stoch_reversion_1h_v1,trend_filtered_boll_stoch_reversion,1h,insufficient_evidence,,reference_semantic_4768f73382d9da7b3f5909852de08df08fcb7c6f489e815a86f6372dfb326c6d,package metadata is not formal AlphaPilot evidence
ref_tick_speed_momentum_forward_v1,tick_speed_momentum,tick,forward_data_required,,reference_semantic_074a7d58894ad75794c3db4efb58b17d0f81d93c716aaf708523254dade4a03c,requires unavailable point-in-time forward evidence
ref_event_news_breakout_forward_v1,event_driven_news,event,forward_data_required,,reference_semantic_aead7f58e58bad373e975b2832095a83fbc6ad9a4c2cdba135f1f0c995265d32,requires unavailable point-in-time forward evidence
ref_okx_spot_perp_basis_forward_v1,okx_basis_relative_value,funding_interval,forward_data_required,,reference_semantic_549819877cf22e0f062a0b518d978e9a42222e37469bc8d6fb4b5485d25043e5,requires unavailable point-in-time forward evidence
