issueId,firstDetectedStage,titleZh,description,issueType,severity,affectsStrategyLogic,affectsResultValidity,affectsEvidenceGrade,affectsLockedOos,historicalOnly,intentionalSafetyBlock,status,resolvedAtStage,resolutionArtifact,requiresPatch,requiresResultRerun,requiresNewCampaign,patchCategory,recommendedAction,evidenceRefs
P0-01,Phase 0,Locked OOS 身份不完整,Locked OOS 身份不完整,formal_validation_evidence,limitation,False,False,True,True,False,True,intentional_safety_block,,,False,False,False,C,Preserve or document,[]
P0-02,Phase 0,正式切分政策未冻结,正式切分政策未冻结,formal_validation_evidence,limitation,False,False,True,False,False,False,resolved_before_result,Phase 2,,True,False,False,A,Preserve or document,[]
P0-03,Phase 0,资金竞争政策不可执行,资金竞争政策不可执行,formal_validation_evidence,blocking,False,True,True,False,False,False,requires_new_campaign,,,False,False,True,B,Create a new preregistered campaign,[]
P0-04,Phase 0,S01 Freqtrade 实现缺失,S01 Freqtrade 实现缺失,formal_validation_evidence,limitation,False,False,True,False,False,False,resolved_before_result,Phase 2,,True,False,False,A,Preserve or document,[]
P0-05,Phase 0,Freqtrade Runtime 缺失,Freqtrade Runtime 缺失,formal_validation_evidence,limitation,False,False,True,False,False,False,resolved_before_result,Phase 2,,True,False,False,A,Preserve or document,[]
P0-06,Phase 0,Timerange / I/O Guard 缺失,Timerange / I/O Guard 缺失,formal_validation_evidence,limitation,False,False,True,False,False,False,resolved_before_result,Phase 2,,True,False,False,A,Preserve or document,[]
P2-01,Phase 2,阶段提交曾未 Push,阶段提交曾未 Push,formal_validation_evidence,limitation,False,False,True,False,True,False,historical_preserved,,,True,False,False,A,Preserve or document,[]
P2-02,Phase 2,测试存在一个 skipped,测试存在一个 skipped,formal_validation_evidence,limitation,False,False,True,False,False,False,open_nonblocking,,,True,False,False,A,Preserve or document,[]
P2-03,Phase 2,历史 CRLF/LF sidecar 哈希差异,历史 CRLF/LF sidecar 哈希差异,formal_validation_evidence,limitation,False,False,True,False,True,False,historical_preserved,,,True,False,False,A,Preserve or document,[]
P2-04,Phase 2,Locked OOS 继续阻塞,Locked OOS 继续阻塞,formal_validation_evidence,limitation,False,False,True,True,False,True,intentional_safety_block,,,False,False,False,C,Preserve or document,[]
P2-05,Phase 2,正式策略结果未产生,正式策略结果未产生,formal_validation_evidence,limitation,False,False,True,False,True,False,historical_preserved,,,False,False,False,C,Preserve or document,[]
P2-06,Phase 2,Release / ARM / Order 为零,Release / ARM / Order 为零,formal_validation_evidence,limitation,False,False,True,False,False,False,not_an_issue,,,False,False,False,C,Preserve or document,[]
F17-01,Formal preflight,容量模型及阈值未冻结,容量模型及阈值未冻结,formal_validation_evidence,blocking,False,True,True,False,False,False,requires_new_campaign,,,False,False,True,B,Create a new preregistered campaign,[]
F17-02,Formal preflight,相关簇算法未冻结,相关簇算法未冻结,formal_validation_evidence,blocking,False,True,True,False,False,False,requires_new_campaign,,,False,False,True,B,Create a new preregistered campaign,[]
F17-03,Formal preflight,组合 Beta 算法未冻结,组合 Beta 算法未冻结,formal_validation_evidence,blocking,False,True,True,False,False,False,requires_new_campaign,,,False,False,True,B,Create a new preregistered campaign,[]
F17-04,Formal preflight,排序字段派生规则未冻结,排序字段派生规则未冻结,formal_validation_evidence,blocking,False,True,True,False,False,False,requires_new_campaign,,,False,False,True,B,Create a new preregistered campaign,[]
